,img_labels,prd_probas,img_dirs,modify_cla
36877,0,0.003821151563897729,/data1/wangruihao/cocofun/shit1/7772.jpg,0
27423,0,0.14334118366241455,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00009079.jpg,0
35680,0,0.6192752122879028,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00003263.jpg,0
42678,0,0.6831457614898682,/data1/wangruihao/cocofun/shit1/6223.jpg,2
31124,0,0.6859131455421448,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00007246.jpg,3
46187,0,0.751549243927002,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00002910.jpg,0
19854,0,0.7637385725975037,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/domestic_nimal_00042.png,0
8399,0,0.7697368860244751,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00005880.jpg,0
26394,0,0.8411124348640442,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00006452.jpg,0
6559,0,0.8789748549461365,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00005603.jpg,0
41565,0,0.8834518194198608,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00010028.jpg,0
24779,0,0.8930180668830872,/data1/wangruihao/cocofun/shit1/6977_1.png,0
12907,0,0.8935689330101013,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00004075.jpg,0
9005,0,0.9000697731971741,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00003979.jpg,0
13678,0,0.9237654805183411,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00008101.jpg,0
45144,0,0.9492155313491821,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00000902.jpg,0
38489,0,0.9498282670974731,/data1/wangruihao/cocofun/shit1/6478.jpg,2
12494,0,0.9547039866447449,/data1/wangruihao/cocofun/shit1/3228.jpg,2
23878,0,0.9579086303710938,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00001998.jpg,0
44712,0,0.9615141153335571,/data1/zhaoshiyu/unporn_dataset/cocofun/train/blood_awful/blood_awful_00010312.jpg,2
13837,0,0.962225615978241,/data1/wangruihao/cocofun/shit1/162.jpg,2
