,img_labels,prd_probas,img_dirs,modify_cla
40532,2,0.0003324394056107849,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/1203_037680.png,-1
3127,2,0.00097848370205611,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/1115_008430.png,
22551,2,0.008443442173302174,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/normal_00001590.jpg,
20627,2,0.01121435221284628,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/normal_00032861.jpg,
45846,2,0.020916162058711052,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/1115_021991.png,0
26243,2,0.022423597052693367,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/1115_006316.png,
47168,2,0.02791043184697628,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/1203_035833.png,-1
35649,2,0.03515655919909477,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/1115_007423.png,
2830,2,0.040314931422472,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/normal_00061044.jpg,
41320,2,0.045964259654283524,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/normal_00045447.jpg,
25244,2,0.05085154250264168,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/add_normal_00658.png,
40389,2,0.052456192672252655,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/normal_00008815.jpg,
9190,2,0.05602039396762848,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/normal_00058553.jpg,
29247,2,0.059976328164339066,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/normal_00022327.jpg,
21099,2,0.06200706586241722,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/normal_00008090.jpg,
10040,2,0.07084498554468155,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/1115_005563.png,
12833,2,0.07223546504974365,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/1115_016381.png,
23175,2,0.07407044619321823,/data1/zhaoshiyu/unporn_dataset/cocofun/train/normal/normal_00065496.jpg,
