,img_labels,prd_probas,img_dirs,modify_cla
8140,1,0.012465016916394234,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/010398.png,
21361,1,0.0299226064234972,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/018303.png,
11198,1,0.03471638262271881,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/009113.png,
4840,1,0.040864285081624985,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_004695.png,
30548,1,0.04218074679374695,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/018226.png,
9593,1,0.05548352375626564,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_001287.png,
30064,1,0.06983225792646408,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/011676.png,
22351,1,0.08729421347379684,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_003467.png,
4805,1,0.09264064580202103,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_004999.png,
30916,1,0.12012279033660889,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_000870.png,
9528,1,0.12856917083263397,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_004469.png,2
918,1,0.1561983972787857,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/022981.png,-1
43535,1,0.19564707577228546,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/017443.png,
17662,1,0.19685152173042297,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/022291.png,
350,1,0.1972736120223999,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/007788.png,
12877,1,0.2023855596780777,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/001352.png,3
25757,1,0.22372782230377197,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/011522.png,-1
13396,1,0.2552299201488495,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_003055.png,
14363,1,0.26070335507392883,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_000641.png,2
17661,1,0.28227993845939636,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/017623.png,
32741,1,0.2946045398712158,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_004815.png,
38040,1,0.30608317255973816,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/012885.png,
30526,1,0.31761667132377625,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_001681.png,
34830,1,0.3483266532421112,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_000089.png,
8392,1,0.38462355732917786,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_004105.png,
2819,1,0.39135703444480896,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/013382.png,
35501,1,0.3914189338684082,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/013592.png,
14923,1,0.4222037196159363,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_001984.png,
12338,1,0.42500606179237366,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_003653.png,
46607,1,0.4338070750236511,/data1/zhaoshiyu/unporn_dataset/cocofun/train/closing/closing_0204_004147.png,
